#START7777
#--------------------------------------------------------------------------------------------------
#  CH_LOW : 하층 운고(m) : 7620m 이면 구름없음
#  CH_MID : 중층 운고(m)
#  CH_TOP : 상층 운고(m)
#  CA_TOT : 전운량(%)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,  STN,        LON.,       LAT., CH_LOW,CH_MID,CH_TOP,CA_TOT,=
#        KST,   ID,       (deg),      (deg),    (m),   (m),   (m),   1/8,=
202412151845,   90,128.56472778, 38.25085068,  7620,  7620,  7620, 0.0,=
202412151845,   93,127.75443268, 37.94738007,  7620,  7620,  7620, 0.0,=
202412151845,   95,127.30419922, 38.14786911,  7620,  7620,  7620, 0.0,=
202412151845,   98,127.06069946, 37.90187836,  7620,  7620,  7620, 0.0,=
202412151845,   99,126.76647949, 37.88589096,  7620,  7620,  7620, 0.0,=
202412151845,  100,128.71833801, 37.67713165,   975,  7620,  7620, 1.0,=
202412151845,  102,124.71237183, 37.97396088,  1402,  7620,  7620, 5.0,=
202412151845,  104,128.85534668, 37.80456161,  7620,  7620,  7620, 0.0,=
202412151845,  105,128.89099121, 37.75146866,  7620,  7620,  7620, 0.0,=
202412151845,  106,129.12432861, 37.50709152,  7620,  7620,  7620, 0.0,=
202412151845,  108,126.96579742, 37.57141876,  7620,  7620,  7620, 1.0,=
202412151845,  112,126.62490082, 37.47771835,  7620,  7620,  7620, 0.0,=
202412151845,  114,127.94658661, 37.33749008,  7620,  7620,  7620, 0.0,=
202412151845,  115,130.89863586, 37.48128891,  1929,  2130,  7620, 7.0,=
202412151845,  119,126.98300171, 37.25746155,  7620,  7620,  7620, 1.0,=
202412151845,  121,128.45742798, 37.18125916,  1463,  7620,  7620, 4.0,=
202412151845,  127,127.95249939, 36.97045135,  7620,  7620,  7620, 1.0,=
202412151845,  129,126.49389648, 36.77658081,  1336,  7620,  7620, 6.0,=
202412151845,  130,129.41278076, 36.99176025,  7620,  7620,  7620, 0.0,=
202412151845,  131,127.44065857, 36.63924026,   914,  1554,  7620, 5.0,=
202412151845,  133,127.37210083, 36.37199020,  1092,  7620,  7620, 7.0,=
202412151845,  135,127.99458313, 36.22024918,  1097,  7620,  7620, 6.0,=
202412151845,  136,128.70733643, 36.57292938,  1554,  7620,  7620, 3.0,=
202412151845,  137,128.15740967, 36.40837097,   948,  1554,  7620, 1.0,=
202412151845,  138,129.38002014, 36.03200912,  1354,  7571,  7620, 8.0,=
202412151845,  140,126.76135254, 36.00529861,  1539,  7620,  7620, 8.0,=
202412151845,  143,128.65295410, 35.87797165,  7620,  7620,  7620, 2.0,=
202412151845,  146,127.11717987, 35.84091949,  7620,  7620,  7620, 0.0,=
202412151845,  152,129.33468628, 35.58237076,  1665,  7620,  7620, 7.0,=
202412151845,  155,128.57281494, 35.17018890,  1597,  4674,  7620, 8.0,=
202412151845,  156,126.89156342, 35.17293930,  1795,  7620,  7620, 3.0,=
202412151845,  159,129.03202820, 35.10467911,  1706,  7620,  7620, 7.0,=
202412151845,  162,128.43560791, 34.84540939,  7620,  7620,  7620, 1.0,=
202412151845,  165,126.38150787, 34.81732178,  7620,  7620,  7620, 2.0,=
202412151845,  168,127.74063110, 34.73928833,  7620,  7620,  7620, 0.0,=
202412151845,  169,125.45104980, 34.68719101,  1531,  7620,  7620, 4.0,=
202412151845,  170,126.70182037, 34.39590073,  7620,  7620,  7620, 0.0,=
202412151845,  172,126.59899902, 35.34823990,  7620,  7620,  7620, 2.0,=
202412151845,  174,127.36940002, 35.02040100,  1289,  1663,  7620, 1.0,=
202412151845,  177,126.68772125, 36.65758896,  1280,  1598,  7620, 3.0,=
202412151845,  181,127.38465881, 36.64001846,  1632,  7620,  7620, 1.0,=
202412151845,  184,126.52969360, 33.51411057,  1436,  7620,  7620, 8.0,=
202412151845,  185,126.16282654, 33.29381943,  1383,  7620,  7620, 8.0,=
202412151845,  188,126.88020325, 33.38676834,  1548,  7620,  7620, 7.0,=
202412151845,  189,126.56529999, 33.24615860,  7620,  7620,  7620, 3.0,=
202412151845,  192,128.04003906, 35.16378021,  1828,  7620,  7620, 5.0,=
202412151845,  201,126.44634247, 37.70738983,  7620,  7620,  7620, 0.0,=
202412151845,  202,127.49446106, 37.48862839,  7620,  7620,  7620, 0.0,=
202412151845,  203,127.48420715, 37.26398849,  7620,  7620,  7620, 0.0,=
202412151845,  211,128.16714478, 38.05986023,  7620,  7620,  7620, 0.0,=
202412151845,  212,127.88043213, 37.68360138,  7620,  7620,  7620, 0.0,=
202412151845,  216,128.98928833, 37.17037964,  1149,  7620,  7620, 7.0,=
202412151845,  217,128.67347717, 37.37731934,  7620,  7620,  7620, 0.0,=
202412151845,  221,128.19433594, 37.15927887,  7620,  7620,  7620, 1.0,=
202412151845,  226,127.73415375, 36.48760986,  6858,  7620,  7620, 3.0,=
202412151845,  232,127.29282379, 36.76216888,  4455,  7620,  7620, 7.0,=
202412151845,  235,126.55744171, 36.32723999,  1422,  7620,  7620, 8.0,=
202412151845,  236,126.92079163, 36.27241898,  1456,  7620,  7620, 6.0,=
202412151845,  239,127.24437714, 36.48522186,  7620,  7620,  7620, 4.0,=
202412151845,  243,126.71656799, 35.72961044,  7620,  7620,  7620, 2.0,=
202412151845,  244,127.28556061, 35.61203003,   504,  7236,  7620, 8.0,=
202412151845,  245,126.83904266, 35.56336975,  7620,  7620,  7620, 6.0,=
202412151845,  247,127.39652252, 35.42129898,  1036,  1249,  7620, 3.0,=
202412151845,  248,127.52030945, 35.65695953,   553,  7194,  7620, 8.0,=
202412151845,  251,126.69699860, 35.42660904,  1239,  4302,  7620, 6.0,=
202412151845,  252,126.47783661, 35.28366089,  3367,  7620,  7620, 6.0,=
202412151845,  253,128.89074707, 35.22980881,  1795,  7620,  7620, 8.0,=
202412151845,  254,127.12860107, 35.37131119,  7620,  7620,  7620, 2.0,=
202412151845,  255,128.67260742, 35.22655106,   505,  7620,  7620, 8.0,=
202412151845,  257,129.02009583, 35.30736923,   585,  7620,  7620, 6.0,=
202412151845,  258,127.21225739, 34.76335144,  7620,  7620,  7620, 1.0,=
202412151845,  259,126.78408051, 34.64456940,  1709,  7620,  7620, 4.0,=
202412151845,  260,126.91950989, 34.68886185,  7620,  7620,  7620, 2.0,=
202412151845,  261,126.56906891, 34.55374908,  7620,  7620,  7620, 0.0,=
202412151845,  262,127.27571869, 34.61825943,  7620,  7620,  7620, 0.0,=
202412151845,  263,128.28811646, 35.32257843,  7620,  7620,  7620, 6.0,=
202412151845,  264,127.74537659, 35.51137924,  7620,  7620,  7620, 3.0,=
202412151845,  266,127.69139862, 34.94340134,   405,  7530,  7620, 7.0,=
202412151845,  268,126.25846100, 34.47296143,  1455,  4625,  7620, 7.0,=
202412151845,  271,128.91448975, 36.94361115,  1300,  7620,  7620, 8.0,=
202412151845,  272,128.51687622, 36.87182999,  1371,  7620,  7620, 6.0,=
202412151845,  273,128.14878845, 36.62726974,  1390,  7620,  7620, 8.0,=
202412151845,  276,129.04005432, 36.43510056,   325,   518,  7620, 1.0,=
202412151845,  277,129.40925598, 36.53337097,  4013,  7620,  7620, 4.0,=
202412151845,  278,128.68864441, 36.35609818,  7620,  7620,  7620, 3.0,=
202412151845,  279,128.32055664, 36.13055038,  1341,  7620,  7620, 3.0,=
202412151845,  281,128.95140076, 35.97742081,  1194,  4718,  7620, 8.0,=
202412151845,  283,129.20123291, 35.81747055,   512,  7620,  7620, 5.0,=
202412151845,  284,127.90989685, 35.66738892,  7620,  7620,  7620, 7.0,=
202412151845,  285,128.16993713, 35.56504822,  1320,  7620,  7620, 8.0,=
202412151845,  288,128.74412537, 35.49147034,  1420,  7620,  7620, 2.0,=
202412151845,  289,127.87909698, 35.41299820,  1133,  1730,  2410, 8.0,=
202412151845,  294,128.60458374, 34.88817978,  1676,  7620,  7620, 1.0,=
202412151845,  295,127.92640686, 34.81661987,  1563,  7620,  7620, 8.0,=
202412151845,  296,128.96023560, 35.21778107,  1850,  7620,  7620, 7.0,=
#7777END
